date,observation_datetime_utc,scene_index,cloud_cover,scene_covers_roi,scene_coverage_ratio,export_requested,export_eligible,export_reason,exported,lst_drive_folder,indices_drive_folder,lst_export_description,indices_export_description,lst_total_pixels,lst_valid_pixels,lst_valid_pixel_ratio,lst_mean_temp_c,lst_min_temp_c,lst_max_temp_c,lst_std_temp_c,indices_valid_pixel_ratio,ndvi_mean,ndvi_min,ndvi_max,ndvi_std,ndbi_mean,ndbi_min,ndbi_max,ndbi_std,ndwi_mean,ndwi_min,ndwi_max,ndwi_std
2023-03-17,2023-03-17T03:23:45,LC08_127046_20230317,83.92,False,0.522778911808817,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1949724.0,42660.0,2.1880019941283995,25.15881125263046,20.16839595693648,33.86468399706695,2.334835543014016,2.0584964846306453,0.5331137255858073,0.04080569010975548,0.9995409083456304,0.14581105634285707,-0.12907547300888017,-0.5588357071878104,0.22293399897577737,0.11852849479901714,-0.43456548603660866,-0.9911420895955856,0.1370746456472727,0.12757915144767623
2023-04-02,2023-04-02T03:23:10,LC08_127045_20230402,87.47,False,0.935089002754443,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3485863.0,1566.0,0.044924312860258706,25.96541978697214,23.524364171314915,30.004531510713377,1.0971809619034694,0.03106834663324405,0.18549252162620006,-0.014913531163220587,0.28360904292341205,0.04225480117133595,-0.3653825773946309,-0.47977689048736644,-0.14194573403487054,0.04173147468479939,-0.11376259985543997,-0.21759829270294678,0.043497507800096195,0.04183314734373847
2023-04-02,2023-04-02T03:23:34,LC08_127046_20230402,61.51,False,0.5249126706356774,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1957682.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-04-18,2023-04-18T03:22:56,LC08_127045_20230418,90.17,False,0.9329333067788905,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3477840.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,
2023-04-18,2023-04-18T03:23:20,LC08_127046_20230418,39.95,False,0.5297539349246925,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,1975720.0,4241.0,0.21465592290405522,31.302962694487103,26.165942640875812,37.573546131036665,1.4166259945540571,0.12425849816775655,0.42734790322337535,0.16523266652326665,0.8138851551998998,0.12499736967188298,-0.11520093854482807,-0.5237264618434094,0.2651456180378472,0.10771161067485537,-0.34064286352397954,-0.5552775326459712,-0.12599134392360967,0.0824471549469477
2023-04-27,2023-04-27T03:16:44,LC08_126045_20230427,88.06,False,0.013493383748430598,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,50534.0,10172.0,20.129022044564056,29.757099325934902,19.246791071068742,42.49415893684841,2.8883347934796677,16.86587248189338,0.4559497755172177,0.020594699568569408,0.8392344257566067,0.14561077704894604,-0.11334539695856934,-0.581390909669346,0.24590467590502324,0.12280385267921844,-0.40809615100585317,-0.7422435007677711,0.5194123819517314,0.12225508158305606
2023-04-27,2023-04-27T03:17:08,LC08_126046_20230427,40.82,False,0.052346668607939996,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,195917.0,39622.0,20.22387031242822,24.265786833090026,9.986628300798088,42.4975184969029,4.502749413709251,14.075858654430192,0.4864070034252383,-0.13389827064154927,0.8030143404867396,0.17868369969593742,-0.18133900921015103,-0.5799911947839579,0.3426808502617012,0.13191362235172324,-0.4388806426697557,-0.7539508991149024,0.5356575743674794,0.16805574695329467
2023-05-04,2023-05-04T03:22:51,LC08_127045_20230504,72.21,False,0.9382473766006971,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3497616.0,1529281.0,43.72352482376567,32.92962511437925,20.542311650222075,55.200190542074665,2.3609657551043544,40.41958865695948,0.5810001751919619,-0.6482911861178711,0.9997663336921779,0.1858623985434754,-0.207814223448449,-0.8865317720836801,0.5158259643350275,0.14465599850805777,-0.5224935193612325,-0.9854120555347954,0.7454628991500114,0.16693639064465812
2023-05-04,2023-05-04T03:23:15,LC08_127046_20230504,46.69,False,0.5160802246142228,False,False,scene_does_not_cover_roi,False,,,,,1924711.0,1077974.0,56.00705768294565,32.7763873688068,21.061864553620808,55.21040208660156,2.3716911381950028,53.473222733179156,0.6046125744310339,-0.3843710292249046,0.9992987716413579,0.17890251413091807,-0.22854188786987342,-0.8651097321623286,0.5140618668906549,0.14746207443998371,-0.5418485286399897,-0.9934247499157018,0.5419476887645994,0.15592715596638543
2023-05-20,2023-05-20T03:22:41,LC08_127045_20230520,55.37,False,0.9348500077113596,False,False,scene_does_not_cover_roi|lst_valid_ratio_below_threshold|indices_valid_ratio_below_threshold,False,,,,,3484965.0,1330558.0,38.179953026787935,33.89768945653032,26.752778218363005,54.78529952648722,2.1012669993758126,32.35521734077674,0.5128079401543156,-0.19546930531052675,0.9995605091062512,0.1413136109566319,-0.18495842038280294,-0.6931263608379007,0.491611892387649,0.13028457261882925,-0.4480984865198892,-0.9991095280498664,0.40610018496847994,0.120674586066401
