lon,lat,BUILD_COV_0,BUILD_DEN_0,WATER_COV_0,ROAD_DEN_0
105.7945207950711,21.099307358293196,0.0,0.0,0.0,0.0
105.79480961775955,21.099306004948556,0.0,0.0,0.0,0.0
105.79509844042511,21.099304651112163,0.0,0.0,0.0,0.0
105.79538726306774,21.099303296783997,0.0,0.0,0.0,0.0
105.7956760856874,21.09930194196408,0.0,0.0,0.0,0.0
105.79596490828416,21.099300586652397,0.0,0.0,0.0,0.0
105.79625373085794,21.099299230848953,0.0,0.0,0.0,0.0
105.79654255340878,21.099297874553745,0.0,0.0,0.0,0.0
105.79683137593663,21.099296517766774,0.0,0.0,0.0,0.0
105.79712019844152,21.09929516048805,0.0,0.0,0.0,0.0
105.79740902092342,21.099293802717565,0.0,0.0,0.0,0.0
105.79769784338232,21.099292444455312,0.0,0.0,0.0,0.0
105.79798666581823,21.0992910857013,0.0,0.0,0.0,0.0
105.79827548823113,21.09928972645553,0.0,0.0,0.0,0.0
105.798564310621,21.099288366718003,0.0,0.0,0.0,0.0
105.79885313298784,21.09928700648871,0.0,0.0,0.0,0.0
105.79914195533166,21.099285645767658,0.0,0.0,0.0,0.0
105.79943077765243,21.09928428455485,0.0,0.0,0.0,0.0
105.79971959995017,21.099282922850282,0.0,0.0,0.0,0.0
105.8000084222248,21.099281560653953,0.0,0.0,0.0,0.0
105.8002972444764,21.099280197965868,0.0,0.0,0.0,0.0
105.80058606670492,21.099278834786016,0.0,0.0,0.0,0.0
105.80087488891034,21.099277471114412,0.0,0.0,0.0,0.0
105.80116371109268,21.099276106951052,0.0,0.0,0.0,0.0
105.80145253325192,21.099274742295925,0.0,0.0,0.0,0.0
105.80174135538803,21.099273377149043,0.0,0.0,0.0,0.0
105.80203017750104,21.099272011510408,0.0,0.0,0.0,0.0
105.80231899959091,21.09927064538001,0.0,0.0,0.0,0.0
105.80260782165765,21.099269278757856,0.0,0.0,0.0,0.0
105.80289664370125,21.09926791164394,0.0,0.0,0.0,0.0
105.8031854657217,21.09926654403827,0.0,0.0,0.0,0.0
105.80347428771898,21.099265175940843,0.0,0.0,0.0,0.0
105.80376310969311,21.099263807351658,0.0,0.0,0.0,0.0
105.80405193164404,21.099262438270717,0.0,0.0,0.0,0.0
105.80434075357181,21.099261068698016,0.0,0.0,0.0,0.0
105.80462957547637,21.09925969863356,0.0,0.0,0.0,0.0
105.80491839735772,21.099258328077347,0.0,0.0,0.0,0.0
105.80520721921587,21.099256957029382,0.0,0.0,0.0,0.0
105.80549604105082,21.099255585489654,0.0,0.0,0.0,0.0
105.80578486286252,21.099254213458174,0.0,0.0,0.0,0.0
105.806073684651,21.099252840934938,0.0,0.0,0.0,0.0
105.80636250641622,21.09925146791995,0.0,0.0,0.0,0.0
105.80665132815821,21.099250094413197,0.0,0.0,0.0,0.0
105.80694014987692,21.099248720414696,0.0,0.0,0.0,0.0
105.80722897157236,21.099247345924432,0.0,0.0,0.0,0.0
105.80751779324453,21.099245970942423,0.0,0.0,0.0,0.0
105.80780661489342,21.099244595468654,0.0,0.0,0.0,0.0
105.80809543651901,21.099243219503133,0.0,0.0,0.0,0.0
105.80838425812132,21.099241843045856,0.0,0.0,0.0,0.0
105.80867307970028,21.09924046609682,0.0,0.0,0.0,0.0
105.80896190125596,21.099239088656034,0.0,0.0,0.0,0.0
105.80925072278829,21.099237710723497,0.0,0.0,0.0,0.0
105.8095395442973,21.099236332299206,0.0,0.0,0.0,0.0
105.80982836578296,21.099234953383156,0.0,0.0,0.0,0.0
105.81011718724527,21.09923357397535,0.0,0.0,0.0,0.0
105.81040600868423,21.099232194075796,0.0,0.0,0.0,0.0
105.8106948300998,21.099230813684493,0.0,0.0,0.0,0.0
105.810983651492,21.099229432801433,0.0,0.0,0.0,0.0
105.81127247286082,21.099228051426618,0.0,0.0,0.0,0.0
105.81156129420624,21.099226669560046,0.0,0.0,0.0,0.0
105.81185011552827,21.099225287201733,0.0,0.0,0.0,0.0
105.81213893682688,21.09922390435166,0.0,0.0,0.0,0.0
105.81242775810207,21.099222521009835,0.0,0.0,0.0,0.0
105.81271657935386,21.09922113717626,0.0,0.0,0.0,0.0
105.8130054005822,21.099219752850928,0.0,0.0,0.0,0.0
105.81329422178707,21.099218368033853,0.0,0.0,0.0,0.0
105.81358304296852,21.099216982725025,0.0,0.0,0.0,0.0
105.8138718641265,21.09921559692444,0.0,0.0,0.0,0.0
105.81416068526102,21.099214210632105,0.0,0.0,0.0,0.0
105.81444950637206,21.099212823848024,0.0,0.0,0.0,0.0
105.81473832745961,21.09921143657219,0.0,0.0,0.0,0.0
105.81502714852365,21.099210048804604,0.0,0.0,0.0,0.0
105.81531596956421,21.099208660545266,0.0,0.0,0.0,0.0
105.81560479058128,21.099207271794178,0.0,0.0,0.0,0.0
105.81589361157481,21.09920588255134,0.0,0.0,0.0,0.0
105.8161824325448,21.099204492816753,0.0,0.0,0.0,0.0
105.81647125349127,21.09920310259042,0.0,0.0,0.0,0.0
105.8167600744142,21.099201711872333,0.0,0.0,0.0,0.0
105.81704889531358,21.099200320662494,0.0,0.0,0.0,0.0
105.81733771618939,21.09919892896091,0.0,0.0,0.0,0.0
105.81762653704163,21.09919753676757,0.0,0.0,0.0,0.0
105.8179153578703,21.09919614408249,0.0,0.0,0.0,0.0
105.81820417867539,21.099194750905657,0.0,0.0,0.0,0.0
105.81849299945688,21.099193357237073,0.0,0.0,0.0,0.0
105.81878182021477,21.099191963076745,0.0,0.0,0.0,0.0
105.81907064094905,21.099190568424664,0.0,0.0,0.0,0.0
105.81935946165972,21.09918917328084,0.0,0.0,0.11111111,0.0
105.81964828234676,21.099187777645266,0.0,0.0,0.0,0.0
105.81993710301016,21.099186381517942,0.0,0.0,0.0,0.0
105.82022592364991,21.099184984898876,0.11111111,0.0,0.0,0.0
105.82051474426603,21.099183587788055,0.0,0.0,0.0,0.0
105.82080356485848,21.099182190185488,0.0,0.0,0.0,10.0
105.82109238542726,21.09918079209118,0.0,0.0,0.0,20.0
105.82138120597237,21.09917939350512,0.0,0.0,0.0,0.0
105.82167002649379,21.099177994427315,0.0,0.0,0.0,0.0
105.82195884699152,21.099176594857767,0.0,0.0,0.0,0.0
105.82224766746555,21.099175194796462,0.0,0.0,0.0,0.0
105.82253648791587,21.099173794243416,0.0,0.0,0.0,0.0
105.82282530834247,21.099172393198625,0.0,0.0,0.0,0.0
105.82311412874533,21.099170991662085,0.0,0.0,0.0,0.0
105.82340294912447,21.099169589633796,0.0,0.0,0.0,0.0
105.82369176947988,21.099168187113772,0.11111111,0.0,0.0,0.0
105.82398058981153,21.099166784101996,0.0,0.0,0.0,0.0
105.8242694101194,21.099165380598475,0.0,0.0,0.0,0.0
105.82455823040353,21.099163976603215,0.0,0.0,0.0,0.0
105.82484705066386,21.099162572116203,0.0,0.0,0.0,0.0
105.82513587090043,21.099161167137442,0.0,0.0,0.0,0.0
105.82542469111318,21.099159761666947,0.0,0.0,0.0,0.0
105.82571351130215,21.099158355704706,0.0,0.0,0.0,0.0
105.82600233146731,21.099156949250716,0.0,0.0,0.11111111,0.0
105.82629115160864,21.099155542304985,0.0,0.0,0.11111111,0.0
105.82657997172615,21.0991541348675,0.0,0.0,0.0,0.0
105.82686879181983,21.099152726938282,0.0,0.0,0.22222222,0.0
105.82715761188966,21.09915131851732,0.0,0.0,0.0,0.0
105.82744643193564,21.09914990960461,0.0,0.0,0.0,0.0
105.82773525195776,21.09914850020016,0.0,0.0,0.0,0.0
105.82802407195602,21.099147090303966,0.0,0.0,0.0,0.0
105.82831289193041,21.099145679916024,0.0,0.0,0.0,0.0
